연도,시도,시군구,생활용-개소수,생활용-이용량,공업용-개소수,공업용-이용량,농업용-개소수,농업용-이용량,기타용-개소수,기타용-이용량
2007,인천광역시,중구,1521,5016834,3,33570,622,7332020,78,409072
2007,전라남도,강진군,2465,6288085,26,213473,4200,14812448,6,23235
2007,전라남도,고흥군,5166,7442309,73,833958,9754,50330769,27,221580
2007,전라남도,곡성군,13727,15711701,44,851965,7083,17943305,15,239950
2007,전라남도,광양시,2972,3541201,61,266560,1660,8726027,15,50820
2007,전라남도,구례군,1305,4426056,10,92825,1166,6274442,43,1009385
2007,전라남도,나주시,10708,6535438,79,968061,5906,14049651,12,35661
2007,전라남도,담양군,8850,4285541,134,1424720,5129,46172657,9,72003
2007,전라남도,목포시,528,926380,9,70342,87,376870,0,0
2007,전라남도,무안군,2441,642692,49,12870,11892,15367066,0,0
2007,전라남도,보성군,3785,9029385,43,597380,5249,30684374,4,39400
2007,전라남도,순천시,10372,8587898,43,995784,6527,19179592,0,0
2007,전라남도,신안군,96,904830,2,10000,190,926965,2,51150
2007,전라남도,여수시,5601,5770418,85,655183,2377,3628114,4,4160
2007,전라남도,영광군,6011,4023032,5,39980,8080,23491891,4,85690
2007,전라남도,영암군,5774,5204693,30,16500,3297,16706986,4,4685
2007,전라남도,완도군,2112,1362863,1,10000,2496,9036928,15,11030
2007,전라남도,장성군,9880,8717459,40,439861,5200,17966448,0,0
2007,전라남도,장흥군,264,1649085,6,42710,3697,11089351,3,16093
2007,전라남도,진도군,412,2416958,10,61400,1387,3401459,2,2200
2007,전라남도,함평군,7614,29300779,43,443277,6481,20429189,9,153566
2007,전라남도,해남군,9001,2691086,55,65780,10772,10579502,25,12844
2007,전라남도,화순군,3753,13915699,17,850735,2323,22690654,23,1220000
2007,전라북도,고창군,4841,4314255,43,361306,27725,58841014,8,18200
2007,전라북도,군산시,1481,1631931,34,1037695,387,1200847,1,13396
2007,전라북도,김제시,8813,14020756,76,1197846,7746,21109173,111,306500
2007,전라북도,남원시,10964,25671536,39,182984,14312,5955337,1,1470
2007,전라북도,무주군,369,582528,5,18100,615,1139369,3,12000
2007,전라북도,부안군,3612,3181829,71,275917,7388,6980286,8,49764
2007,전라북도,순창군,5323,3548094,13,271819,5484,13520199,84,170800
2007,전라북도,완주군,4159,10550703,39,2779066,4340,38827114,24,306540
2007,전라북도,익산시,10097,14128688,273,1018505,7656,11022470,2,36000
2007,전라북도,임실군,1460,1991286,9,668690,2078,5489160,1,1250
2007,전라북도,장수군,2480,4204487,5,100300,2590,6707489,8,276111
2007,전라북도,전주시,2392,13947278,70,2165265,605,4749882,0,0
2007,전라북도,정읍시,10499,8917233,46,931820,12498,42134326,8,41202
2007,전라북도,진안군,2428,4768263,20,159500,1331,6704807,9,197215
2007,제주특별자치도,서귀포시,565,63153296,62,6257700,3289,1665263277,54,39055
2007,제주특별자치도,제주시,912,70174246,112,8965996,1184,714782876,72,889505
2007,충청남도,계룡시,504,569584,3,30600,228,614639,0,0
2007,충청남도,공주시,10387,18016024,92,949501,6082,11760296,3,82800
2007,충청남도,금산군,5999,12070154,106,1621253,6000,15600837,1,27000
2007,충청남도,논산시,17435,11945866,188,1002872,9023,18549873,23,57760
2007,충청남도,당진시,13211,52137977,51,862565,2942,7398673,5,41245
2007,충청남도,보령시,7376,8524214,59,379077,7995,28072031,3,2625
2007,충청남도,부여군,16682,9737693,69,206739,8260,21446084,16,2555
2007,충청남도,서산시,9210,10920454,38,984934,18872,51002679,50,583533
2007,충청남도,서천군,6413,5273685,80,739696,6117,7679531,0,0
2007,충청남도,아산시,5542,20561850,170,5075975,3140,2622333,76,110700
2007,충청남도,예산군,7563,15025717,23,514000,4530,8188655,31,300
2007,충청남도,천안시,12298,13245291,209,5672414,7865,17365063,6,18586
2007,충청남도,청양군,4535,10610914,25,281780,3294,6388575,0,0
2007,충청남도,태안군,6308,20545055,7,23250,8053,16305464,1155,3057826
2007,충청남도,홍성군,10180,7719676,36,288625,7656,6277581,1,450
2007,충청북도,괴산군,4464,3087728,46,167668,3535,5376824,4,0
2007,충청북도,단양군,1260,732489,35,238352,250,273619,11,1200
2007,충청북도,보은군,5862,3680513,64,212840,3064,3562125,12,43866
2007,충청북도,영동군,8737,7420364,68,1254124,4349,10785168,0,0
2007,충청북도,옥천군,15676,23674236,121,2095502,6425,13824847,40,459755
2007,충청북도,음성군,9586,43465911,617,8378768,6557,32664617,20,236823
2007,충청북도,제천시,7913,25922083,68,466542,4374,28381750,7,7200
2007,충청북도,증평군,2156,3258621,36,327040,1554,2286564,0,0
2007,충청북도,진천군,6837,18065451,173,4780173,3351,11813626,0,0
2007,충청북도,청주시,6082,12103189,50,950912,3107,5194404,11,42592
2007,충청북도,충주시,9190,21275267,121,1691826,6533,31900242,70,421436
2008,강원도,강릉시,7475,7014989,79,1501169,1003,4958797,6,244756
2008,강원도,고성군,1253,3822307,12,75572,594,4121008,11,84200
2008,강원도,동해시,667,2649720,54,1848233,147,1258300,0,0
2008,강원도,삼척시,1823,5943513,27,715700,541,6384386,6,202960
2008,강원도,속초시,306,1568923,11,86610,47,185291,5,15934
2008,강원도,양구군,1939,1074866,5,16350,2090,3671392,0,0
2008,강원도,양양군,676,797405,20,126149,656,4203601,3,15480
2008,강원도,영월군,936,3853157,13,139565,500,3930573,5,68300
2008,강원도,원주시,16437,40507572,121,1374920,5327,17024791,2,73000
2008,강원도,인제군,3620,4512969,5,13910,112,520670,3,2334
