,행정구역,,2023년03월_계_총인구수,2023년03월_계_연령구간인구수,2023년03월_계_0~9세,2023년03월_계_10~19세,2023년03월_계_20~29세,2023년03월_계_30~39세,2023년03월_계_40~49세,2023년03월_계_50~59세,2023년03월_계_60~69세,2023년03월_계_70~79세,2023년03월_계_80~89세,2023년03월_계_90~99세,2023년03월_계_100세 이상,2023년03월_남_총인구수,2023년03월_남_연령구간인구수,2023년03월_남_0~9세,2023년03월_남_10~19세,2023년03월_남_20~29세,2023년03월_남_30~39세,2023년03월_남_40~49세,2023년03월_남_50~59세,2023년03월_남_60~69세,2023년03월_남_70~79세,2023년03월_남_80~89세,2023년03월_남_90~99세,2023년03월_남_100세 이상,2023년03월_여_총인구수,2023년03월_여_연령구간인구수,2023년03월_여_0~9세,2023년03월_여_10~19세,2023년03월_여_20~29세,2023년03월_여_30~39세,2023년03월_여_40~49세,2023년03월_여_50~59세,2023년03월_여_60~69세,2023년03월_여_70~79세,2023년03월_여_80~89세,2023년03월_여_90~99세,2023년03월_여_100세 이상
55,경기도,평택시,"583,029","583,029","49,236","55,672","77,663","90,132","100,773","95,209","65,927","29,934","16,216","2,205",62,"305,849","305,849","25,037","28,522","43,672","50,478","54,368","50,384","33,550","13,387","5,927",511,13,"277,180","277,180","24,199","27,150","33,991","39,654","46,405","44,825","32,377","16,547","10,289","1,694",49
56,경기도,포천시,"145,614","145,614","7,133","11,005","16,801","14,075","18,350","28,315","28,683","12,696","7,414","1,107",35,"77,170","77,170","3,694","5,772","9,596","7,992","9,883","15,508","15,644","6,099","2,704",268,10,"68,444","68,444","3,439","5,233","7,205","6,083","8,467","12,807","13,039","6,597","4,710",839,25
57,경기도,하남시,"326,768","326,768","31,635","30,708","36,464","51,949","60,308","47,265","40,877","19,182","7,197","1,144",39,"162,956","162,956","16,179","15,509","18,214","25,843","31,087","23,897","19,722","9,506","2,766",228,5,"163,812","163,812","15,456","15,199","18,250","26,106","29,221","23,368","21,155","9,676","4,431",916,34
58,경기도,화성시,"922,231","922,231","96,978","107,441","110,109","151,668","180,807","131,884","86,699","36,628","17,388","2,547",82,"479,113","479,113","49,508","54,716","59,648","80,034","95,290","70,841","44,632","17,393","6,517",515,19,"443,118","443,118","47,470","52,725","50,461","71,634","85,517","61,043","42,067","19,235","10,871","2,032",63
59,경상남도,거제시,"235,350","235,350","20,628","28,048","20,681","28,117","46,553","41,450","30,737","12,469","5,700",944,23,"123,130","123,130","10,682","14,641","11,829","14,537","24,945","22,662","15,712","6,080","1,867",170,5,"112,220","112,220","9,946","13,407","8,852","13,580","21,608","18,788","15,025","6,389","3,833",774,18
60,경상남도,거창군,"60,462","60,462","3,153","5,768","5,320","4,504","7,152","10,111","11,267","7,044","5,256",866,21,"29,741","29,741","1,632","3,173","3,133","2,368","3,594","5,279","5,655","3,072","1,641",192,2,"30,721","30,721","1,521","2,595","2,187","2,136","3,558","4,832","5,612","3,972","3,615",674,19
61,경상남도,고성군,"50,115","50,115","1,904","3,966","3,460","3,112","5,898","8,865","10,651","6,889","4,569",791,10,"25,197","25,197",935,"2,170","2,050","1,699","3,232","4,893","5,416","3,202","1,458",140,2,"24,918","24,918",969,"1,796","1,410","1,413","2,666","3,972","5,235","3,687","3,111",651,8
62,경상남도,김해시,"533,541","533,541","41,561","59,747","61,852","63,507","93,730","100,498","68,554","28,855","13,496","1,707",34,"269,766","269,766","21,372","30,766","33,976","33,159","46,672","50,924","35,132","13,042","4,392",327,4,"263,775","263,775","20,189","28,981","27,876","30,348","47,058","49,574","33,422","15,813","9,104","1,380",30
63,경상남도,남해군,"41,425","41,425","1,408","2,698","2,717","2,238","4,061","6,749","8,912","6,564","5,048","1,015",15,"20,158","20,158",738,"1,493","1,700","1,184","2,138","3,690","4,473","2,988","1,569",185,0,"21,267","21,267",670,"1,205","1,017","1,054","1,923","3,059","4,439","3,576","3,479",830,15
64,경상남도,밀양시,"102,707","102,707","4,722","7,388","7,897","8,015","12,346","17,740","22,516","13,286","7,701","1,077",19,"50,580","50,580","2,398","3,880","4,589","4,311","6,492","9,106","11,084","6,047","2,477",194,2,"52,127","52,127","2,324","3,508","3,308","3,704","5,854","8,634","11,432","7,239","5,224",883,17
65,경상남도,사천시,"109,068","109,068","6,785","10,108","9,748","10,545","16,912","18,479","18,123","10,955","6,394","1,001",18,"55,128","55,128","3,493","5,241","5,925","5,802","8,852","9,907","8,877","4,804","2,060",166,1,"53,940","53,940","3,292","4,867","3,823","4,743","8,060","8,572","9,246","6,151","4,334",835,17
66,경상남도,산청군,"34,109","34,109","1,066","1,918","2,051","1,841","3,105","6,065","8,200","5,200","3,984",662,17,"16,918","16,918",557,"1,049","1,180","1,013","1,687","3,317","4,307","2,457","1,234",113,4,"17,191","17,191",509,869,871,828,"1,418","2,748","3,893","2,743","2,750",549,13
67,경상남도,양산시,"353,816","353,816","29,956","35,445","35,962","44,860","61,932","60,295","49,732","23,517","10,755","1,326",36,"177,137","177,137","15,368","18,136","19,357","23,134","31,527","30,248","24,476","10,754","3,845",287,5,"176,679","176,679","14,588","17,309","16,605","21,726","30,405","30,047","25,256","12,763","6,910","1,039",31
68,경상남도,의령군,"25,898","25,898",898,"1,374","1,547","1,551","2,567","4,336","6,059","3,837","3,159",554,16,"12,853","12,853",485,735,930,821,"1,467","2,419","3,248","1,735",898,110,5,"13,045","13,045",413,639,617,730,"1,100","1,917","2,811","2,102","2,261",444,11
69,경상남도,진주시,"342,923","342,923","24,584","34,363","41,888","39,389","51,750","56,992","50,972","26,867","14,038","2,029",51,"169,482","169,482","12,694","17,969","23,030","20,554","25,683","28,227","24,425","11,880","4,620",392,8,"173,441","173,441","11,890","16,394","18,858","18,835","26,067","28,765","26,547","14,987","9,418","1,637",43
70,경상남도,창녕군,"57,998","57,998","2,475","3,841","3,674","4,182","6,449","10,036","13,124","8,018","5,373",811,15,"28,982","28,982","1,275","2,016","2,184","2,343","3,583","5,456","6,657","3,672","1,646",149,1,"29,016","29,016","1,200","1,825","1,490","1,839","2,866","4,580","6,467","4,346","3,727",662,14
71,경상남도,창원시,"1,017,273","1,017,273","71,205","97,091","115,224","123,935","163,661","180,926","159,483","71,129","30,447","4,095",77,"515,053","515,053","36,631","50,589","64,782","66,169","83,741","89,684","78,770","33,267","10,633",775,12,"502,220","502,220","34,574","46,502","50,442","57,766","79,920","91,242","80,713","37,862","19,814","3,320",65
73,경상남도,통영시,"121,903","121,903","7,204","12,494","9,547","10,724","20,031","21,572","22,181","11,858","5,571",706,15,"61,225","61,225","3,611","6,453","5,418","5,501","10,628","11,325","10,786","5,552","1,824",127,0,"60,678","60,678","3,593","6,041","4,129","5,223","9,403","10,247","11,395","6,306","3,747",579,15
74,경상남도,하동군,"42,235","42,235","1,398","2,499","2,654","2,339","4,127","7,650","9,803","6,243","4,646",859,17,"21,146","21,146",721,"1,363","1,569","1,292","2,283","4,215","5,172","2,894","1,473",163,1,"21,089","21,089",677,"1,136","1,085","1,047","1,844","3,435","4,631","3,349","3,173",696,16
75,경상남도,함안군,"61,100","61,100","3,073","5,572","4,570","4,513","8,427","10,871","12,164","6,768","4,414",720,8,"31,250","31,250","1,573","2,958","2,724","2,387","4,460","6,021","6,484","3,150","1,360",131,2,"29,850","29,850","1,500","2,614","1,846","2,126","3,967","4,850","5,680","3,618","3,054",589,6
76,경상남도,함양군,"37,386","37,386","1,473","2,701","2,525","2,214","3,859","6,497","7,992","5,302","4,158",649,16,"18,137","18,137",737,"1,437","1,449","1,159","2,054","3,518","4,054","2,332","1,270",124,3,"19,249","19,249",736,"1,264","1,076","1,055","1,805","2,979","3,938","2,970","2,888",525,13
77,경상남도,합천군,"41,919","41,919","1,301","2,173","2,472","2,151","3,737","6,916","9,825","6,863","5,643",812,26,"20,397","20,397",680,"1,149","1,427","1,194","2,098","3,887","5,107","3,024","1,668",161,2,"21,522","21,522",621,"1,024","1,045",957,"1,639","3,029","4,718","3,839","3,975",651,24
78,경상북도,경산시,"267,717","267,717","17,917","23,022","35,610","31,718","40,487","46,137","39,386","21,092","10,929","1,393",26,"134,757","134,757","9,149","11,818","19,630","17,221","20,766","23,065","19,422","9,516","3,844",325,1,"132,960","132,960","8,768","11,204","15,980","14,497","19,721","23,072","19,964","11,576","7,085","1,068",25
79,경상북도,경주시,"248,794","248,794","14,080","19,826","23,502","23,380","34,311","46,076","45,305","25,449","14,724","2,088",53,"124,489","124,489","7,238","10,327","13,218","12,552","17,835","23,771","22,693","11,515","4,872",462,6,"124,305","124,305","6,842","9,499","10,284","10,828","16,476","22,305","22,612","13,934","9,852","1,626",47
80,경상북도,고령군,"30,320","30,320","1,157","1,819","2,117","1,918","3,388","5,563","6,842","4,269","2,841",397,9,"15,589","15,589",602,975,"1,223","1,061","1,859","3,170","3,652","2,030",925,91,1,"14,731","14,731",555,844,894,857,"1,529","2,393","3,190","2,239","1,916",306,8
81,경상북도,구미시,"407,044","407,044","34,562","43,938","50,824","59,794","72,029","70,512","47,113","17,694","9,193","1,343",42,"209,642","209,642","17,765","22,931","29,058","32,096","36,477","35,741","24,215","8,118","2,975",266,0,"197,402","197,402","16,797","21,007","21,766","27,698","35,552","34,771","22,898","9,576","6,218","1,077",42
82,경상북도,군위군,"23,238","23,238",584,893,"1,277","1,239","1,902","4,061","5,990","3,999","2,898",387,8,"11,941","11,941",317,479,760,724,"1,099","2,309","3,245","1,908","1,017",83,0,"11,297","11,297",267,414,517,515,803,"1,752","2,745","2,091","1,881",304,8
83,경상북도,김천시,"139,017","139,017","9,159","12,333","12,981","13,947","18,940","23,198","24,164","13,977","8,902","1,381",35,"69,805","69,805","4,745","6,669","7,358","7,371","9,854","12,130","12,068","6,356","2,944",304,6,"69,212","69,212","4,414","5,664","5,623","6,576","9,086","11,068","12,096","7,621","5,958","1,077",29
84,경상북도,문경시,"69,881","69,881","3,463","5,333","5,692","5,085","8,206","11,515","14,265","9,190","6,205",894,33,"34,402","34,402","1,773","2,905","3,201","2,710","4,324","6,042","7,119","4,090","2,044",189,5,"35,479","35,479","1,690","2,428","2,491","2,375","3,882","5,473","7,146","5,100","4,161",705,28
85,경상북도,봉화군,"30,037","30,037","1,060","1,709","1,666","1,592","2,843","5,083","7,420","4,621","3,471",556,16,"15,264","15,264",567,878,"1,023",885,"1,627","2,809","3,944","2,185","1,211",134,1,"14,773","14,773",493,831,643,707,"1,216","2,274","3,476","2,436","2,260",422,15
